Semester,Year,Professor,Department Code,Department Number,Class Name,Toggl Name,Credits
Fall,2023,Mehmet Belviranli,CSCI,442,Operating Systems,OS,3
Fall,2023,Dinesh Mehta,CSCI,406,Algorithms,Algorithms,3
Fall,2023,Kathleen Kelly,CSCI,306,Software Engineering,SWE,3
Fall,2023,"Lincoln Carr,Courtney Halls",HNRS,435A,Generative AI and Graphic Novels,GenAI & Art,3
Spring,2023,Renee Falconer,CHGN,121,Principles of Chemistry I,Chemistry 1,4
Spring,2023,Qi Han,CSCI,341,Computer Organization,Computer Organization,3
Spring,2023,Amelia Read,CSCI,403,Database Management,Database Management,3
Spring,2023,Melanie Brandt,HNRS,315,Explorations in Modern World,ExpModernWorld,3
Spring,2023,Jonathan Cullison,HASS,327,Music Technology,Music Technology,3
Spring,2024,Dinesh Mehta,CSCI,498D,Network Sciences,Network Sciences,3
Spring,2024,Mehmet Belviranli,CSCI,582,Computing Beyond CPUs,Beyond CPUs,3
Spring,2024,Stevie Rea,HNRS,445,Social Media and Misinformation,Social Media and Misinformation,3
Spring,2024,Chuan Yue,CSCI,574,Theory of Cryptography,Cryptography,3
Spring,2024,Justin Latici,HNRS,405,Practicum,Practicum - My Practicum,3
